"book_id","isbn","authors","original_publication_year","original_title","title","language_code","image_url"
24,"439139600","J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire","Harry Potter and the Goblet of Fire (Harry Potter, #4)","eng","https://images.gr-assets.com/books/1361482611m/6.jpg"
25,"545010225","J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows","Harry Potter and the Deathly Hallows (Harry Potter, #7)","eng","https://images.gr-assets.com/books/1474171184m/136251.jpg"
26,"307277674","Dan Brown",2003,"The Da Vinci Code","The Da Vinci Code (Robert Langdon, #2)","eng","https://images.gr-assets.com/books/1303252999m/968.jpg"
27,"439785960","J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","eng","https://images.gr-assets.com/books/1361039191m/1.jpg"
28,"140283331","William Golding",1954,"Lord of the Flies ","Lord of the Flies","eng","https://images.gr-assets.com/books/1327869409m/7624.jpg"
29,"743477111","William Shakespeare, Robert           Jackson",1595,"An Excellent conceited Tragedie of Romeo and Juliet","Romeo and Juliet","eng","https://images.gr-assets.com/books/1327872146m/18135.jpg"
30,"297859382","Gillian Flynn",2012,"Gone Girl","Gone Girl","eng","https://images.gr-assets.com/books/1339602131m/8442457.jpg"
31,"399155341","Kathryn Stockett",2009,"The Help","The Help","eng","https://images.gr-assets.com/books/1346100365m/4667024.jpg"
32,"142000671","John Steinbeck",1937,"Of Mice and Men ","Of Mice and Men","eng","https://images.gr-assets.com/books/1437235233m/890.jpg"
33,"739326228","Arthur Golden",1997,"Memoirs of a Geisha","Memoirs of a Geisha","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
34,"1612130291","E.L. James",2011,"Fifty Shades of Grey","Fifty Shades of Grey (Fifty Shades, #1)","eng","https://images.gr-assets.com/books/1385207843m/10818853.jpg"
35,"61122416","Paulo Coelho, Alan R. Clarke",1988,"O Alquimista","The Alchemist","eng","https://images.gr-assets.com/books/1483412266m/865.jpg"
36,"385732554","Lois Lowry",1993,"The Giver","The Giver (The Giver, #1)","eng","https://images.gr-assets.com/books/1342493368m/3636.jpg"
37,"60764899","C.S. Lewis",1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","eng","https://images.gr-assets.com/books/1353029077m/100915.jpg"
38,"965818675","Audrey Niffenegger",2003,"The Time Traveler's Wife","The Time Traveler's Wife","eng","https://images.gr-assets.com/books/1437728815m/14050.jpg"
39,"553588486","George R.R. Martin",1996,"A Game of Thrones","A Game of Thrones (A Song of Ice and Fire, #1)","eng","https://images.gr-assets.com/books/1436732693m/13496.jpg"
40,"143038419","Elizabeth Gilbert",2006,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love","eng","https://images.gr-assets.com/books/1503066414m/19501.jpg"
41,"786838655","Rick Riordan",2005,"The Lightning Thief","The Lightning Thief (Percy Jackson and the Olympians, #1)","eng","https://images.gr-assets.com/books/1400602609m/28187.jpg"
42,"451529308","Louisa May Alcott",1868,"Little Women","Little Women (Little Women, #1)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
43,"142437204","Charlotte Brontë, Michael Mason",1847,"Jane Eyre","Jane Eyre","eng","https://images.gr-assets.com/books/1327867269m/10210.jpg"
44,"553816713","Nicholas Sparks",1996,"The Notebook","The Notebook (The Notebook, #1)","eng","https://images.gr-assets.com/books/1385738917m/15931.jpg"
45,"770430074","Yann Martel",2001,"Life of Pi","Life of Pi","nan","https://images.gr-assets.com/books/1320562005m/4214.jpg"
46,"1565125606","Sara Gruen",2006,"Water for Elephants","Water for Elephants","eng","https://images.gr-assets.com/books/1494428973m/43641.jpg"
47,"375831002","Markus Zusak",2005,"The Book Thief","The Book Thief","eng","https://images.gr-assets.com/books/1390053681m/19063.jpg"
48,"307347974","Ray Bradbury",1953,"Fahrenheit 451","Fahrenheit 451","spa","https://images.gr-assets.com/books/1351643740m/4381.jpg"
49,"316160199","Stephenie Meyer",2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)","eng","https://images.gr-assets.com/books/1361039440m/49041.jpg"
50,"60513039","Shel Silverstein",1974,"Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein","Where the Sidewalk Ends","eng","https://images.gr-assets.com/books/1168052448m/30119.jpg"
51,"1416914285","Cassandra Clare",2007,"City of Bones","City of Bones (The Mortal Instruments, #1)","eng","https://images.gr-assets.com/books/1432730315m/256683.jpg"
52,"316160202","Stephenie Meyer",2007,"Eclipse","Eclipse (Twilight, #3)","en-US","https://images.gr-assets.com/books/1361038355m/428263.jpg"
53,"375826696","Christopher Paolini",2002,"Eragon","Eragon (The Inheritance Cycle, #1)","en-US","https://images.gr-assets.com/books/1366212852m/113436.jpg"
54,"345391802","Douglas Adams",1979,"The Hitchhiker's Guide to the Galaxy","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","en-US","https://images.gr-assets.com/books/1327656754m/11.jpg"
55,"60929871","Aldous Huxley",1932,"Brave New World","Brave New World","eng","https://images.gr-assets.com/books/1487389574m/5129.jpg"
56,"031606792X","Stephenie Meyer",2008,"Breaking Dawn","Breaking Dawn (Twilight, #4)","en-US","https://images.gr-assets.com/books/1361039438m/1162543.jpg"
57,"142001740","Sue Monk Kidd",2001,"The Secret Life of Bees","The Secret Life of Bees","en-US","https://images.gr-assets.com/books/1473454532m/37435.jpg"
58,"142437174","Mark Twain, John Seelye, Guy Cardwell",1884,"The Adventures of Huckleberry Finn","The Adventures of Huckleberry Finn","eng","https://images.gr-assets.com/books/1405973850m/2956.jpg"
59,"64410935","E.B. White, Garth Williams, Rosemary Wells",1952,"Charlotte's Web","Charlotte's Web","eng","https://images.gr-assets.com/books/1439632243m/24178.jpg"
60,"1400032717","Mark Haddon",2003,"The Curious Incident of the Dog in the Night-Time","The Curious Incident of the Dog in the Night-Time","eng","https://images.gr-assets.com/books/1479863624m/1618.jpg"
61,"1594633665","Paula Hawkins",2015,"The Girl on the Train","The Girl on the Train","eng","https://images.gr-assets.com/books/1490903702m/22557272.jpg"
62,"679879242","Philip Pullman",1995,"Northern Lights","The Golden Compass (His Dark Materials, #1)","eng","https://images.gr-assets.com/books/1451271747m/119322.jpg"
63,"393978893","Emily Brontë, Richard J. Dunn",1847,"Wuthering Heights","Wuthering Heights","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
64,"743454537","Jodi Picoult",2004,"My Sister's Keeper","My Sister's Keeper","eng","https://images.gr-assets.com/books/1369504683m/10917.jpg"
65,"385333846","Kurt Vonnegut Jr.",1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ","Slaughterhouse-Five","eng","https://images.gr-assets.com/books/1440319389m/4981.jpg"
66,"446675539","Margaret Mitchell",1936,"Gone with the Wind","Gone with the Wind","eng","https://images.gr-assets.com/books/1328025229m/18405.jpg"
67,"1594489505","Khaled Hosseini",2007,"A Thousand Splendid Suns","A Thousand Splendid Suns","eng","https://images.gr-assets.com/books/1345958969m/128029.jpg"
68,"671027344","Stephen Chbosky",1999,"The Perks of Being a Wallflower","The Perks of Being a Wallflower","eng","https://images.gr-assets.com/books/1167352178m/22628.jpg"
69,"7442912","Veronica Roth",2012,"Insurgent","Insurgent (Divergent, #2)","eng","https://images.gr-assets.com/books/1325667729m/11735983.jpg"
70,"812550706","Orson Scott Card",1985,"Ender's Game","Ender's Game (Ender's Saga, #1)","eng","https://images.gr-assets.com/books/1408303130m/375802.jpg"
71,"141439475","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus","Frankenstein","eng","https://images.gr-assets.com/books/1381512375m/18490.jpg"
72,"450040186","Stephen King",1977,"The Shining","The Shining (The Shining #1)","eng","https://images.gr-assets.com/books/1353277730m/11588.jpg"
73,"316068047","Stephenie Meyer",2008,"The Host","The Host (The Host, #1)","en-US","https://images.gr-assets.com/books/1318009171m/1656001.jpg"
74,"142402516","John Green",2005,"Looking for Alaska","Looking for Alaska","eng","https://images.gr-assets.com/books/1394798630m/99561.jpg"
75,"014028009X","Helen Fielding",1996,"nan","Bridget Jones's Diary (Bridget Jones, #1)","eng","https://images.gr-assets.com/books/1292060045m/227443.jpg"
76,"141439661","Jane Austen, Tony Tanner, Ros Ballaster",1811,"Sense and Sensibility","Sense and Sensibility","eng","https://images.gr-assets.com/books/1397245675m/14935.jpg"
77,"439244196","Louis Sachar, Louis Sachar",1998,"Holes","Holes (Holes, #1)","eng","https://images.gr-assets.com/books/1327781893m/38709.jpg"
78,"307275558","Lauren Weisberger",2003,"The Devil Wears Prada","The Devil Wears Prada (The Devil Wears Prada, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
79,"143039954","Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,"Ὀδύσσεια","The Odyssey","eng","https://images.gr-assets.com/books/1390173285m/1381.jpg"
80,"156012197","Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,"Le Petit Prince","The Little Prince","eng","https://images.gr-assets.com/books/1367545443m/157993.jpg"
81,"074324754X","Jeannette Walls",2005,"The Glass Castle","The Glass Castle","eng","https://images.gr-assets.com/books/1400930557m/7445.jpg"
82,"385486804","Jon Krakauer",1996,"Into the Wild","Into the Wild","eng","https://images.gr-assets.com/books/1403173986m/1845.jpg"
83,"141439602","Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,"A Tale of Two Cities","A Tale of Two Cities","eng","https://images.gr-assets.com/books/1344922523m/1953.jpg"
84,"030734813X","Michael Crichton",1990,"Jurassic Park","Jurassic Park (Jurassic Park, #1)","spa","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
85,"60256656","Shel Silverstein",1964,"The Giving Tree","The Giving Tree","eng","https://images.gr-assets.com/books/1174210942m/370493.jpg"
86,"385338600","John Grisham",1989,"A Time to Kill","A Time to Kill","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
87,"374500010","Elie Wiesel, Marion Wiesel",1958,"Un di Velt Hot Geshvign","Night (The Night Trilogy #1)","eng","https://images.gr-assets.com/books/1473495285m/1617.jpg"
88,"014241493X","John Green",2008,"Paper Towns","Paper Towns","en-US","https://images.gr-assets.com/books/1349013610m/6442769.jpg"
89,"345418263","William Goldman",1973,"The Princess Bride","The Princess Bride ","en-US","https://images.gr-assets.com/books/1327903636m/21787.jpg"
90,"014038572X","S.E. Hinton",1967,"The Outsiders","The Outsiders","en-US","https://images.gr-assets.com/books/1442129426m/231804.jpg"
91,"385737947","James Dashner",2009,"The Maze Runner","The Maze Runner (Maze Runner, #1)","eng","https://images.gr-assets.com/books/1375596592m/6186357.jpg"
92,"61234001","Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","en-US","https://images.gr-assets.com/books/1327909092m/1202.jpg"
93,"517189607","Frances Hodgson Burnett",1911,"The Secret Garden","The Secret Garden","eng","https://images.gr-assets.com/books/1327873635m/2998.jpg"
94,"60531045","Gabriel García Márquez, Gregory Rabassa",1967,"Cien años de soledad","One Hundred Years of Solitude","eng","https://images.gr-assets.com/books/1327881361m/320.jpg"
95,"375751513","Oscar Wilde, Jeffrey Eugenides",1891,"The Picture of Dorian Gray","The Picture of Dorian Gray","eng","https://images.gr-assets.com/books/1424596966m/5297.jpg"
96,"345803507","E.L. James",2012,"Fifty Shades Freed","Fifty Shades Freed (Fifty Shades, #3)","eng","https://images.gr-assets.com/books/1336418837m/13536860.jpg"
97,"393970124","Bram Stoker, Nina Auerbach, David J. Skal",1897,"Dracula","Dracula","eng","https://images.gr-assets.com/books/1387151694m/17245.jpg"
98,"307269981","Stieg Larsson, Reg Keeland",2006,"Flickan som lekte med elden","The Girl Who Played with Fire (Millennium, #2)","eng","https://images.gr-assets.com/books/1351778881m/5060378.jpg"
99,"1612130585","E.L. James",2011,"Fifty Shades Darker","Fifty Shades Darker (Fifty Shades, #2)","eng","https://images.gr-assets.com/books/1358266080m/11857408.jpg"
100,"60786507","Barbara Kingsolver",1998,"The Poisonwood Bible","The Poisonwood Bible","eng","https://images.gr-assets.com/books/1412242487m/7244.jpg"
101,"349113912","David Sedaris",2000,"Me Talk Pretty One Day","Me Talk Pretty One Day","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
102,"99408392","Maurice Sendak",1963,"Where the Wild Things Are","Where the Wild Things Are","eng","https://images.gr-assets.com/books/1384434560m/19543.jpg"
103,"140449264","Alexandre Dumas, Robin Buss",1844,"Le Comte de Monte-Cristo","The Count of Monte Cristo","eng","https://images.gr-assets.com/books/1309203605m/7126.jpg"
104,"307265439","Cormac McCarthy",2006,"The Road","The Road","eng","https://images.gr-assets.com/books/1439197219m/6288.jpg"
105,"7524277","Veronica Roth",2013,"Allegiant","Allegiant (Divergent, #3)","eng","https://images.gr-assets.com/books/1395582745m/18710190.jpg"
106,"nan","Tina Fey",2011,"Bossypants","Bossypants","eng","https://images.gr-assets.com/books/1481509554m/9418327.jpg"
107,"446693804","Nicholas Sparks",1999,"A Walk to Remember","A Walk to Remember","en-US","https://images.gr-assets.com/books/1385738968m/3473.jpg"
108,"440241413","Sophie Kinsella",2000,"Confessions of a Shopaholic","Confessions of a Shopaholic (Shopaholic, #1)","eng","https://images.gr-assets.com/books/1327872404m/9416.jpg"
109,"451525264","Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,"Les Misérables","Les Misérables","eng","https://images.gr-assets.com/books/1411852091m/24280.jpg"
110,"553381695","George R.R. Martin",1998,"A Clash of Kings","A Clash of Kings  (A Song of Ice and Fire, #2)","eng","https://images.gr-assets.com/books/1358254974m/10572.jpg"
111,"143037145","Kim Edwards",2005,"The Memory Keeper's Daughter","The Memory Keeper's Daughter","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
112,"670026603","Jojo Moyes",2012,"Me Before You","Me Before You (Me Before You, #1)","eng","https://images.gr-assets.com/books/1357108762m/15507958.jpg"
113,"684833395","Joseph Heller",1961,"Catch-22","Catch-22","en-US","https://images.gr-assets.com/books/1463157317m/168668.jpg"
114,"751529818","Mitch Albom, Saulius Dagys",1997,"Tuesdays with Morrie","Tuesdays with Morrie","eng","https://images.gr-assets.com/books/1423763749m/6900.jpg"
115,"312422156","Jeffrey Eugenides",2002,"Middlesex","Middlesex","en-US","https://images.gr-assets.com/books/1437029776m/2187.jpg"
116,"143039563","Mark Twain, Guy Cardwell, John Seelye",1876,"The Adventures of Tom Sawyer","The Adventures of Tom Sawyer","eng","https://images.gr-assets.com/books/1404811979m/24583.jpg"
117,"440498058","Madeleine L'Engle",1962,"A Wrinkle in Time","A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","en-US","https://images.gr-assets.com/books/1329061522m/18131.jpg"
118,"143038095","Amy Tan",1989,"The Joy Luck Club","The Joy Luck Club","eng","https://images.gr-assets.com/books/1304978653m/7763.jpg"
119,"038549081X","Margaret Atwood",1985,"The Handmaid's Tale","The Handmaid's Tale","eng","https://images.gr-assets.com/books/1498057733m/38447.jpg"
120,"385729332","Ann Brashares",2001,"The Sisterhood of the Traveling Pants","The Sisterhood of the Traveling Pants (Sisterhood, #1)","eng","https://images.gr-assets.com/books/1461611233m/452306.jpg"
121,"nan","Vladimir Nabokov, Craig Raine",1955,"Lolita","Lolita","eng","https://images.gr-assets.com/books/1377756377m/7604.jpg"
122,"60987103","Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","eng","https://images.gr-assets.com/books/1437733293m/37442.jpg"
123,"582418275","John Grisham",1991,"The Firm","The Firm (Penguin Readers, Level 5)","eng","https://images.gr-assets.com/books/1418465200m/5358.jpg"
124,"316098337","Emma Donoghue",2010,"Room","Room","eng","https://images.gr-assets.com/books/1344265419m/7937843.jpg"
125,"521618746","William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark","Hamlet","eng","https://images.gr-assets.com/books/1351051208m/1420.jpg"
126,"340839937","Frank Herbert",1965,"Dune","Dune (Dune Chronicles #1)","eng","https://images.gr-assets.com/books/1434908555m/234225.jpg"
127,"316346624","Malcolm Gladwell",2000,"The Tipping Point: How Little Things Can Make a Big Difference","The Tipping Point: How Little Things Can Make a Big Difference","eng","https://images.gr-assets.com/books/1473396980m/2612.jpg"
128,"1451648537","Walter Isaacson",2011,"Steve Jobs","Steve Jobs","eng","https://images.gr-assets.com/books/1327861368m/11084145.jpg"
129,"451163966","Ken Kesey",1962,"One Flew Over the Cuckoo's Nest","One Flew Over the Cuckoo's Nest","eng","https://images.gr-assets.com/books/1485308778m/332613.jpg"
130,"684830493","Ernest Hemingway",1952,"The Old Man and the Sea","The Old Man and the Sea","eng","https://images.gr-assets.com/books/1329189714m/2165.jpg"
131,"142000663","John Steinbeck",1939,"The Grapes of Wrath","The Grapes of Wrath","eng","https://images.gr-assets.com/books/1352912927m/4395.jpg"
132,"1401308589","Mitch Albom",2003,"The Five People You Meet in Heaven","The Five People You Meet in Heaven","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
133,"451528824","L.M. Montgomery",1908,"Anne of Green Gables","Anne of Green Gables (Anne of Green Gables, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
134,"1416914307","Cassandra Clare",2009,"City of Glass","City of Glass (The Mortal Instruments, #3)","en-US","https://images.gr-assets.com/books/1369452339m/3777732.jpg"
135,"055357342X","George R.R. Martin",2000,"A Storm of Swords","A Storm of Swords (A Song of Ice and Fire, #3)","eng","https://images.gr-assets.com/books/1497931121m/62291.jpg"
136,"006075995X","Rebecca Wells",1996,"Divine Secrets of the Ya-Ya Sisterhood","Divine Secrets of the Ya-Ya Sisterhood","en-US","https://images.gr-assets.com/books/1408313524m/137791.jpg"
137,"440242940","Diana Gabaldon",1991,"Outlander","Outlander (Outlander, #1)","eng","https://images.gr-assets.com/books/1402600310m/10964.jpg"
138,"142437263","Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,"The Scarlet Letter","The Scarlet Letter","eng","https://images.gr-assets.com/books/1404810944m/12296.jpg"
139,"1594744769","Ransom Riggs",2011,"Miss Peregrine’s Home for Peculiar Children","Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)","en-US","https://images.gr-assets.com/books/1472782916m/9460487.jpg"
140,"030726999X","Stieg Larsson, Reg Keeland",2007,"Luftslottet som sprängdes","The Girl Who Kicked the Hornet's Nest (Millennium, #3)","en-US","https://images.gr-assets.com/books/1327708260m/6892870.jpg"
141,"804139024","Andy Weir",2012,"The Martian","The Martian","eng","https://images.gr-assets.com/books/1413706054m/18007564.jpg"
142,"451207149","Ken Follett",1989,"The Pillars of the Earth","The Pillars of the Earth (The Kingsbridge Series, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
143,"1476746583","Anthony Doerr",2014,"nan","All the Light We Cannot See","eng","https://images.gr-assets.com/books/1451445646m/18143977.jpg"
144,"1400064163","Laura Hillenbrand",2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption","eng","https://images.gr-assets.com/books/1327861115m/8664353.jpg"
145,"671027387","Dan Brown",2001,"Deception Point","Deception Point","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
146,"316055433","Donna Tartt",2013,"The Goldfinch","The Goldfinch","eng","https://images.gr-assets.com/books/1451554970m/17333223.jpg"
147,"1595141715","Jay Asher",2007,"Thirteen Reasons Why","Thirteen Reasons Why","eng","https://images.gr-assets.com/books/1333822506m/1217100.jpg"
148,"452287022","Tracy Chevalier",1999,"Girl with a Pearl Earring","Girl with a Pearl Earring","eng","https://images.gr-assets.com/books/1327197580m/2865.jpg"
149,"525421033","Gayle Forman",2009,"If I Stay","If I Stay (If I Stay, #1)","en-US","https://images.gr-assets.com/books/1347462970m/4374400.jpg"
150,"312353766","Anita Diamant",1997,"The Red Tent","The Red Tent","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
151,"786856866","Rick Riordan",2006,"The Sea of Monsters","The Sea of Monsters (Percy Jackson and the Olympians, #2)","eng","https://images.gr-assets.com/books/1400602661m/28186.jpg"
152,"446528056","Nicholas Sparks",2006,"Dear John","Dear John","en-US","https://images.gr-assets.com/books/1397749854m/5526.jpg"
153,"1416914293","Cassandra Clare",2008,"City of Ashes","City of Ashes (The Mortal Instruments, #2)","eng","https://images.gr-assets.com/books/1432730356m/1582996.jpg"
154,"743477103","William Shakespeare",1606,"The Tragedy of Macbeth","Macbeth","eng","https://images.gr-assets.com/books/1459795224m/8852.jpg"
155,"618346260","J.R.R. Tolkien",1954,"The Two Towers","The Two Towers (The Lord of the Rings, #2)","en-US","https://images.gr-assets.com/books/1298415523m/15241.jpg"
156,"031232118X","Emily Giffin",2004,"Something Borrowed","Something Borrowed (Darcy & Rachel, #1)","eng","https://images.gr-assets.com/books/1305063535m/42156.jpg"
157,"394800168","Dr. Seuss, לאה נאור",1960,"Green Eggs and Ham","Green Eggs and Ham","en-US","https://images.gr-assets.com/books/1468680100m/23772.jpg"
158,"142403881","Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory","Charlie and the Chocolate Factory (Charlie Bucket, #1)","eng","https://images.gr-assets.com/books/1309211401m/6310.jpg"
159,"1423101464","Rick Riordan",2008,"The Battle of the Labyrinth","The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","eng","https://images.gr-assets.com/books/1443142158m/2120932.jpg"
160,"192833596","Charles Dickens",1860,"Great Expectations","Great Expectations","eng","https://images.gr-assets.com/books/1327920219m/2623.jpg"
161,"345339738","J.R.R. Tolkien",1955,"The Return of the King","The Return of the King (The Lord of the Rings, #3)","en-US","https://images.gr-assets.com/books/1389977161m/18512.jpg"
162,"nan","Albert Camus, Matthew    Ward",1942,"L’Étranger","The Stranger","eng","https://images.gr-assets.com/books/1349927872m/49552.jpg"
163,"142311339X","Rick Riordan",2010,"The Lost Hero","The Lost Hero (The Heroes of Olympus, #1)","eng","https://images.gr-assets.com/books/1464201003m/7736182.jpg"
164,"1250012570","Rainbow Rowell",2013,"Eleanor & Park","Eleanor & Park","eng","https://images.gr-assets.com/books/1341952742m/15745753.jpg"
165,"055358202X","George R.R. Martin",2005,"A Feast for Crows","A Feast for Crows (A Song of Ice and Fire, #4)","en-US","https://images.gr-assets.com/books/1429538615m/13497.jpg"
166,"525423648","Ally Condie",2010,"Matched","Matched (Matched, #1)","eng","https://images.gr-assets.com/books/1367706191m/7735333.jpg"
167,"747263744","Neil Gaiman",2001,"American Gods","American Gods (American Gods, #1)","eng","https://images.gr-assets.com/books/1258417001m/4407.jpg"
168,"385199570","Stephen King, Bernie Wrightson",1978,"The Stand","The Stand","en-US","https://images.gr-assets.com/books/1213131305m/149267.jpg"
169,"446547565","Nicholas Sparks",2008,"The Last Song","The Last Song","en-GB","https://images.gr-assets.com/books/1286549186m/6400090.jpg"
